Dataset,Epoch,LR,Batch-Size,Mean-ROC,ROC-per-Seed,CI-L,CI-U
cmc,30,0.001,128,0.4998,"[0.4868371528939445, 0.4926495726495727, 0.4698659805802663, 0.5267987942303357, 0.5230075452101661]",0.4695270060481334,0.5301366121775808
cmc,30,1e-06,128,0.7081,"[0.7083709713393554, 0.6811951800476391, 0.7695214838071981, 0.6785870238900159, 0.7029844819159335]",0.6625367128822787,0.7537269435177784
credit-approval,30,0.001,128,0.5000,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.5,0.5
credit-approval,30,1e-06,128,0.5925,"[0.6557093425605536, 0.39035087719298245, 0.759548611111111, 0.5125, 0.6444444444444445]",0.4148798334049024,0.770141476718734
cylinder-bands,30,0.01,128,0.5000,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.5,0.5
cylinder-bands,30,1e-06,128,0.6546,"[0.5000000000000001, 0.6203208556149732, 0.7692307692307692, 0.6833333333333333, 0.7]",0.5287099910807684,0.7804439921908619
dresses-sales,30,0.001,128,0.5086,"[0.5, 0.5, 0.5007763975155279, 0.525, 0.5172413793103448]",0.49400724014364467,0.5231998705867044
dresses-sales,30,1e-06,128,0.4279,"[0.6175548589341693, 0.4015873015873016, 0.35403726708074534, 0.3806451612903226, 0.38557993730407525]",0.29452331228610873,0.5612384981925369
